name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Jake McCabe,8,0.13808349490915842,8,0.12743482366204262,0.010648671247115798,DSS
Jake Neighbours,6,0.25901404390555977,6,0.20090915511051813,0.05810488879504164,DSS
Jake Sanderson,4,0.679222793200766,4,0.7768027074635029,-0.09757991426273693,RF
Jakub Dobes,2,0.1012839672648626,2,0.002705127000808716,0.09857884026405389,DSS
Jakub Lauko,4,0.10417943430958362,4,0.0017350167036056519,0.10244441760597797,DSS
Jakub Skarek,2,0.10128396726486258,2,0.0021321773529052734,0.0991517899119573,DSS
Jalen Chatfield,6,0.16278748859020462,6,0.002620711922645569,0.16016677666755905,DSS
James Hamblin,2,0.10128396726486262,2,0.0016273558139801025,0.09965661145088252,DSS
James Reimer,1,0.11286583544374672,1,0.0029290318489074707,0.10993680359483925,DSS
James van Riemsdyk,2,0.33595570006661013,2,0.07067862153053284,0.2652770785360773,DSS
Jamie Benn,2,0.2053953953826757,2,0.011620234698057175,0.19377516068461853,DSS
Jamie Drysdale,2,0.5,2,0.500386007130146,-0.0003860071301460266,RF
Jamie Oleksiak,4,0.1578269295685497,4,0.0014044232666492462,0.15642250630190047,DSS
Jansen Harkins,2,1.0,2,1.0015177875757217,-0.0015177875757217407,RF
Jared Spurgeon,2,0.1128658354437467,2,0.00246613472700119,0.11039970071674551,DSS
Jason Dickinson,2,0.5,2,0.5006195157766342,-0.0006195157766342163,RF
Jason Robertson,6,0.6442225465490728,6,0.5182087384164333,0.12601380813263952,DSS
Jason Zucker,2,0.2409163578359806,2,0.48138492554426193,-0.24046856770828134,RF
Jasper Weatherby,1,0.10128396726486258,1,0.0011291205883026123,0.10015484667655997,DSS
Javon Moore,1,0.10128396726486258,1,0.0033361613750457764,0.0979478058898168,DSS
Jaxson Stauber,2,0.10707490135430464,2,0.002529878169298172,0.10454502318500647,DSS
Jaycob Megna,2,0.10128396726486258,2,0.0014743879437446594,0.09980957932111792,DSS
Jean-Gabriel Pageau,2,0.25922094141522606,2,0.00021161511540412903,0.25900932629982193,DSS
Jesper Boqvist,3,0.44788189237891046,3,0.34572602187593776,0.1021558705029727,DSS
Jesper Bratt,1,0.10128396726486263,1,0.7811164855957031,-0.6798325183308405,RF
Jesperi Kotkaniemi,2,0.2085789577827948,2,0.0007662251591682434,0.20781273262362657,DSS
Jesse Puljujärvi,2,0.5,2,0.01467118039727211,0.4853288196027279,DSS
Jimmy Vesey,2,0.2716202135919138,2,0.5081905797123909,-0.2365703661204771,RF
Jiri Kulich,4,0.15291263189168147,4,0.005569493398070335,0.14734313849361114,DSS
Joe Veleno,2,0.29631280234567514,2,0.4996251929551363,-0.20331239060946116,RF
Joel Edmundson,2,0.5,2,0.5013680309057236,-0.0013680309057235718,RF
Joel Eriksson Ek,2,0.505790934089442,2,0.50080855935812,0.004982374731322015,DSS
Joel Hanley,2,1.005790934089442,2,1.0028913766145706,0.0028995574748713615,DSS
Joel Hofer,2,0.10128396726486258,2,0.002488836646080017,0.09879513061878256,DSS
Joel Kiviranta,4,0.10707490135430466,4,0.0010907743126153946,0.10598412704168926,DSS
John Gibson,2,0.1012839672648626,2,0.002330273389816284,0.09895369387504632,DSS
Johnathan Kovacevic,4,0.15623514836849028,4,0.009791378863155842,0.14644376950533444,DSS
Jon Merrill,2,0.10707490135430466,2,0.0028395876288414,0.10423531372546326,DSS
Jonas Brodin,2,0.4445489093890557,2,0.5099782794713974,-0.06542937008234168,RF
Jonas Johansson,2,0.11286583544374666,2,0.002629358321428299,0.11023647712231836,DSS
Jonatan Berggren,2,0.2409163578359806,2,0.49162836745381355,-0.25071200961783296,RF
Jonathan Drouin,2,0.2409163578359806,2,0.11585456132888794,0.12506179650709265,DSS
Jonny Brodzinski,4,0.2608239982060987,4,0.0015602651983499527,0.25926373300774874,DSS
Jordan Binnington,2,0.1128658354437467,2,0.0027345307171344757,0.11013130472661223,DSS
Jordan Harris,2,0.1012839672648626,2,0.0026602819561958313,0.09862368530866678,DSS
Jordan Kyrou,2,0.1012839672648626,2,0.08886780962347984,0.012416157641382763,DSS
Jordan Martinook,3,0.3001414101544961,3,0.34152327477931976,-0.04138186462482368,RF
Jordan Oesterle,4,0.2787073724164012,4,0.25582534819841385,0.02288202421798735,DSS
Joseph Woll,3,0.10514458999115732,3,0.002026143173376719,0.1031184468177806,DSS
Josh Anderson,2,0.5,2,0.012879645451903343,0.48712035454809666,DSS
Josh Doan,2,0.4128877877318596,2,0.01116916537284851,0.40171862235901107,DSS
Josh Manson,2,0.1128658354437467,2,0.0012203194200992584,0.11164551602364745,DSS
Josh Morrissey,3,0.17281396094348409,3,0.2080411079029242,-0.035227146959440125,RF
Josh Norris,2,0.4502121152317442,2,0.5107486583292484,-0.060536543097504225,RF
Joshua Mahura,2,0.1012839672648626,2,0.0015025325119495392,0.09978143475291307,DSS
Justin Barron,3,0.1012839672648626,3,0.002227713664372762,0.09905625360048985,DSS
Justin Brazeau,8,0.27079209200210214,8,0.12960293842479587,0.14118915357730627,DSS
Justin Danforth,1,0.0019636542218577357,1,0.01705169677734375,-0.015088042555486014,RF
Justin Dowling,2,0.11286583544374672,2,0.0021064653992652893,0.11075937004448143,DSS
Justin Faulk,2,0.1012839672648626,2,0.0008346512913703918,0.10044931597349221,DSS
Justin Holl,3,0.19052968749392565,3,0.000598969558874766,0.1899307179350509,DSS
Justin Kirkland,1,0.10128396726486262,1,0.0014706850051879883,0.09981328225967463,DSS
Justin Larose,1,0.10128396726486262,1,0.0033361613750457764,0.09794780588981684,DSS
Justus Annunen,4,0.10997036839902566,4,0.0027196258306503296,0.10725074256837533,DSS
Juuse Saros,2,0.10128396726486262,2,0.002624295651912689,0.09865967161294993,DSS
Juuso Parssinen,5,0.10591671453641624,5,0.0012580841779708863,0.10465863035844536,DSS
Juuso Valimaki,4,0.19353924925287558,4,0.0014608073979616165,0.19207844185491396,DSS
K'Andre Miller,4,0.19933018334231756,4,0.0014636460691690445,0.1978665372731485,DSS
Kaapo Kakko,4,0.23181246934125987,4,0.010112655349075794,0.22169981399218408,DSS
Kaiden Guhle,4,0.1012839672648626,4,0.001423599198460579,0.09986036806640203,DSS
Karel Vejmelka,2,0.11286583544374666,2,0.002644699066877365,0.1102211363768693,DSS
Karsen Dorwart,2,0.10707490135430464,2,0.0019643642008304596,0.10511053715347418,DSS
Kasperi Kapanen,4,0.19933018334231753,4,0.0005886591970920563,0.19874152414522547,DSS
Keaton Middleton,4,0.1012839672648626,4,0.002598542720079422,0.09868542454478318,DSS
Keegan Kolesar,7,0.24680111972816274,7,0.018369313861642565,0.22843180586652018,DSS
Kent Johnson,2,0.2592209414152261,2,0.009911730885505676,0.24930921052972044,DSS
Kevin Bahl,2,0.11286583544374668,2,0.0018000714480876923,0.11106576399565898,DSS
Kevin Fiala,5,0.2205984329986427,5,0.22373941242694856,-0.003140979428305851,RF
Kevin Hayes,9,0.3999906381404687,9,0.33867740796671975,0.061313230173748956,DSS
Kevin Labanc,3,0.10514458999115732,3,0.0011428867777188618,0.10400170321343846,DSS
Kevin Rooney,3,0.10514458999115732,3,0.0011075188716252644,0.10403707111953206,DSS
Kevin Stenlund,9,0.2825075823780854,9,0.11802238929602835,0.16448519308205703,DSS
Kiefer Sherwood,2,0.3506503224013826,2,0.029045797884464264,0.32160452451691834,DSS
Kieffer Bellows,3,0.10514458999115729,3,0.0020323097705841064,0.10311228022057319,DSS
Kirby Dach,2,0.1012839672648626,2,0.000333394855260849,0.10095057240960176,DSS
Kirill Kaprizov,6,0.36098508115816985,6,0.3660864035288493,-0.005101322370679451,RF
Kirill Marchenko,4,0.2738732065998722,4,0.2198732327669859,0.053999973832886294,DSS
Klim Kostin,4,0.11286583544374666,4,0.0015443675220012665,0.1113214679217454,DSS
Konnor Smith,1,0.10128396726486258,1,0.00104609876871109,0.10023786849615149,DSS
Kris Letang,9,0.2467013546182454,9,0.1324667599466112,0.11423459467163422,DSS
Kurtis MacDermid,4,0.10997036839902569,4,0.002714177593588829,0.10725619080543686,DSS
Kyle Burroughs,4,0.10707490135430464,4,0.002950437366962433,0.10412446398734221,DSS
Kyle Capobianco,2,0.10707490135430467,2,0.0023683495819568634,0.1047065517723478,DSS
Kyle Connor,9,0.6589903058997582,9,0.47154584361447227,0.18744446228528588,DSS
Kyle Crnkovic,1,0.10128396726486258,1,0.0033361613750457764,0.0979478058898168,DSS
Kyle MacLean,4,0.2729164383269591,4,0.2542076427489519,0.018708795578007198,DSS
Kyle Marino,1,0.1012839672648626,1,0.0033361613750457764,0.09794780588981683,DSS
Kyle Palmieri,2,1.5057909340894422,2,1.5022608116269112,0.003530122462531038,DSS
Lane Hutson,9,0.4393867831133338,9,0.342216345998976,0.0971704371143578,DSS
Lars Eller,2,0.20552312362942934,2,0.015271736308932304,0.19025138732049704,DSS
Lawson Crouse,3,0.3709552784812489,3,0.3347197696566582,0.0362355088245907,DSS
Leevi Merilainen,4,0.10128396726486258,4,0.0025545042008161545,0.09872946306404642,DSS
Leo Carlsson,9,0.22557833828735938,9,0.12701509065098232,0.09856324763637705,DSS
Leon Draisaitl,4,0.176505015961877,4,0.20759840868413448,-0.031093392722257474,RF
Liam O'Brien,5,0.10591671453641624,5,0.0016284152865409852,0.10428829924987526,DSS
Liam Ohgren,4,0.2757480412483034,4,0.2557697333395481,0.019978307908755266,DSS
Lian Bichsel,4,0.10707490135430464,4,0.0018630791455507278,0.10521182220875391,DSS
Linus Karlsson,2,0.2914210422172052,2,0.5009822063148022,-0.20956116409759695,RF
Linus Ullmark,2,0.10128396726486258,2,0.0020999833941459656,0.09918398387071661,DSS
Logan Cooley,5,0.35971599246777114,5,0.23882213830947877,0.12089385415829237,DSS
Logan O'Connor,7,0.1648001078964277,7,0.17285360715218953,-0.00805349925576182,RF
Logan Stankoven,15,0.20548723693418122,15,0.13828063334027926,0.06720660359390196,DSS
Logan Stanley,6,0.17398280949358247,6,0.006483607615033786,0.1674992018785487,DSS
