name,n_test,mae
Marshall Rifai,8,0.08421096131274639
Martin Fehervary,28,0.3300735300004422
Martin Fehérváry,8,0.2962022124381579
Martin Necas,35,0.42987818329055816
Martin Pospisil,32,0.21612934939771627
Mason Appleton,33,0.2642158818669841
Mason Lohrei,32,0.32141482200414173
Mason Marchment,35,0.35940739606936073
Mason McTavish,31,0.4624731291036118
Mason Morelli,2,0.08116314847758506
Mason Shaw,5,0.08238227361164958
Matej Blumel,5,0.2812521164373439
Mathew Barzal,14,0.40480065955963174
Mathieu Joseph,35,0.3192995637512136
Mathieu Olivier,32,0.3748452393712336
Matias Maccelli,32,0.2594933842236243
Mats Zuccarello,29,0.32111143851311374
