name,n_test,mae
Ethan Bear,4,0.0006257817149162292
Ethan Cardwell,5,0.0011950939893722533
Ethan Del Mastro,13,0.15928319841623306
Ethen Frank,20,0.2041836254298687
Evan Bouchard,36,0.5612356259177128
Evan Rodrigues,36,0.20337624640928376
Evander Kane,4,0.5118564181029797
Evgeni Malkin,31,0.5860441033878634
Evgenii Dadonov,35,0.2953121930360794
Fabian Lysell,7,0.2857703907149179
Fabian Zetterlund,36,0.25097652276357013
Fedor Svechkov,21,0.2596323036012195
Felix Unger-Sorum,1,3.028254270553589
Filip Chytil,30,0.06895812302827835
Filip Forsberg,32,0.468867723364383
Filip Gustavsson,33,0.06169266005357107
Filip Hronek,25,0.5236250746250153
Filip Kral,2,0.0008496791124343872
Fisher Scott,2,0.0009875372052192688
Frank Nazar,22,0.5474952452562072
Frank Vatrano,32,0.5970230733510107
Fraser Minten,11,0.09374235705895857
Frederick Gaudreau,34,0.268562636392958
Frederik Andersen,35,0.029610425233840942
Fyodor Avramov,1,0.001263052225112915
Gabriel Landeskog,3,0.02727847049633662
Gabriel Perreault,4,0.0010176599025726318
Gabriel Seger,2,0.0009875372052192688
Gabriel Vilardi,36,0.34720270045929486
Gage Goncalves,26,0.4296774508861395
Garnet Hathaway,32,0.11664111586287618
Georgi Merkulov,3,0.001532241702079773
Georgi Romanov,8,0.0006050970405340195
Givani Smith,16,0.0003487439826130867
Gleb Trikozov,1,0.0016327500343322754
Grant Hutton,9,0.229057553741667
Guillaume Brisebois,5,0.0013938039541244508
Gustav Forsling,36,0.224226297189792
Gustav Nyquist,34,0.15004591380848603
Gustav Olofsson,6,0.0012720823287963867
Hampus Lindholm,8,0.2507788762450218
Hayden Hodgson,5,0.0010189026594161986
Haydn Fleury,32,0.25123600428923965
Helge Grans,3,0.00202841063340505
Hendrix Lapierre,14,0.2153820746711322
Henri Jokiharju,31,0.260000943176208
Henry Thrun,31,0.22839038025948308
Hudson Fasching,25,0.16135927498340608
Hunter Haight,2,0.0006791800260543823
Hunter Johannes,2,0.0009875372052192688
Hunter Shepard,4,0.0011798366904258728
Ian Cole,32,0.15734223928302526
Ian Mitchell,9,0.11187047925260332
Ian Moore,2,0.5008713379502296
Igor Shesterkin,30,0.0006741727391878764
Ilya Lyubushkin,35,0.23361915988581522
Ilya Mikheyev,32,0.37543897703289986
Ilya Samsonov,35,0.029532455120767867
Ilya Solovyov,3,0.0012485186258951824
Ilya Sorokin,31,0.0981198198372318
Isaac Poulter,4,0.0009105615317821503
Isaak Phillips,8,0.0008248556405305862
Isac Lundestrom,32,0.15880256658419967
Isaiah George,14,0.2154765065227236
Isak Rosen,6,0.1671824430425962
Ivan Barbashev,34,0.32286752628929477
Ivan Demidov,4,0.5097177773714066
Ivan Fedotov,32,0.0010061231441795826
Ivan Ivan,16,0.06405137665569782
Ivan Miroshnichenko,9,0.11290097898907131
Ivan Provorov,32,0.3718966911546886
J.J. Moser,13,0.15446622669696808
J.T. Compher,32,0.33417770685628057
J.T. Miller,29,0.440788463528814
JJ Peterka,32,0.42263177782297134
Jaccob Slavin,36,0.2552146508047978
Jack Ahcan,2,0.0006719231605529785
Jack Drury,34,0.14840353455613642
Jack Eichel,36,0.39390040271812016
Jack Finley,1,0.0013904422521591187
Jack Hughes,24,0.5229399936894575
Jack Johnson,32,0.15831843111664057
Jack McBain,32,0.3107927148230374
Jack Phelan,2,0.0009875372052192688
Jack Quinn,32,0.47285704337991774
Jack Roslovic,36,0.4261470412214597
Jack St. Ivany,12,0.08425646026929219
Jack Thompson,20,0.3051109999418259
Jack Williams,5,0.0007994979619979859
Jackson Blake,36,0.42282891066537964
Jackson LaCombe,32,0.41141305305063725
Jacob Bernard-Docker,26,0.30876752046438366
Jacob Bryson,32,0.21994093246757984
Jacob Gaucher,2,0.0014339536428451538
Jacob Markstrom,31,0.0008034614786025017
Jacob Middleton,30,0.20358725289503735
Jacob Moverare,26,0.2322127245939695
Jacob Quillan,4,0.0008331127464771271
Jacob Trouba,32,0.2608332163654268
Jaden Schwartz,31,0.4388019706933729
Jake Allen,33,0.0009047808972272006
Jake Bean,32,0.2512008296325803
Jake Christiansen,32,0.23242195276543498
Jake DeBrusk,32,0.44699661200866103
Jake Evans,34,0.325842676574693
Jake Guentzel,33,0.5387472088138262
Jake Leschyshyn,2,0.0009649917483329773
Jake Livingstone,2,0.00045340508222579956
Jake Lucchini,2,0.0010354295372962952
Jake McCabe,34,0.21838068392346888
Jake Neighbours,34,0.5100052847581751
Jake Oettinger,35,0.029394068036760604
Jake Sanderson,34,0.44342060430961494
Jake Walman,36,0.3629774997631709
Jakob Chychrun,34,0.3593023739316884
Jakob Pelletier,21,0.2884278077454794
Jakub Dobes,20,0.0002583600580692291
Jakub Lauko,23,0.13151745627755704
Jakub Rychlovsky,2,0.0009875372052192688
Jakub Skarek,6,0.0010089948773384094
Jakub Vrana,32,0.1262079724110663
Jalen Chatfield,36,0.25512153034408885
James Hamblin,3,0.0013193190097808838
James Malatesta,2,0.004423752427101135
James Reimer,31,0.0007698978147199077
James van Riemsdyk,32,0.41159913688898087
Jamie Benn,35,0.4399492348943438
Jamie Drysdale,28,0.15514204118932998
Jamie Oleksiak,31,0.2913613021373749
Jan Jenik,3,0.000957349936167399
Jan Rutta,22,0.18314517695795407
Jani Hakanpaa,3,0.0008373757203420004
Jani Nyman,5,0.4174921676516533
Janis Moser,10,0.4121317960321903
