name,n_test_rf,mae_rf,n_test_dss,mae_dss,delta_rf_minus_dss,winner
Caleb Jones,8,0.08268705489516573,8,0.0005852486938238144,0.08210180620134191,DSS
Callahan Burke,4,0.33290577296660373,4,0.2511346973478794,0.08177107561872432,DSS
Calle Jarnkrok,14,0.12479069421706877,14,0.001588826732976096,0.12320186748409268,DSS
Calum Ritchie,4,0.2152593256418531,4,0.0022954046726226807,0.21296392096923042,DSS
Calvin Pickard,36,0.11150507229260152,36,0.02924220636487007,0.08226286592773145,DSS
Calvin de Haan,33,0.2476919357338087,33,0.18293816618847125,0.06475376954533746,DSS
Cam Atkinson,30,0.30326716058729253,30,0.26877942979335784,0.03448773079393469,DSS
Cam Dineen,6,0.08522689892446685,6,0.0010719547669092815,0.08415494415755756,DSS
Cam Fowler,31,0.6092801514934268,31,0.6108578073401605,-0.0015776558467336388,RF
Cam Talbot,32,0.08306803149956088,32,0.0009334529750049114,0.08213457852455597,DSS
Cam York,27,0.23077131017833127,27,0.1119283084516172,0.11884300172671407,DSS
Cameron Crotty,5,0.08482052387977865,5,0.000986689329147339,0.08383383455063131,DSS
Cameron Lund,6,0.23112722102944694,6,0.0015280817945798237,0.2295991392348671,DSS
Carl Grundstrom,31,0.29575467847340425,31,0.25922380195510003,0.03653087651830422,DSS
Carl Lindbom,3,0.08116314847758507,3,0.0009395033121109009,0.08022364516547417,DSS
Carson Bantle,2,0.08116314847758506,2,0.0009875372052192688,0.08017561127236579,DSS
Carson Lambos,2,0.08116314847758505,2,0.0007928088307380676,0.08037033964684698,DSS
Carson Soucy,32,0.27431519832398416,32,0.1887478162534535,0.08556738207053066,DSS
Carter Kowalyk,1,0.08116314847758506,1,0.001263052225112915,0.07990009625247214,DSS
Carter Mazur,2,0.08116314847758506,2,0.0014054998755455017,0.07975764860203956,DSS
Carter Verhaeghe,36,0.6159317757420079,36,0.6385473118474086,-0.02261553610540079,RF
Carter Yakemchuk,2,0.27845407698076136,2,0.04214164987206459,0.23631242710869677,DSS
Casey Cizikas,31,0.35301185546351926,31,0.2935658308767503,0.05944602458676895,DSS
Casey DeSmith,35,0.11288217995943083,35,0.029423498255865915,0.08345868170356491,DSS
Casey Mittelstadt,32,0.3352929683033619,32,0.34754661610350013,-0.012253647800138212,RF
Cayden Primeau,15,0.08319502370102594,15,0.00029705862204233805,0.0828979650789836,DSS
Chad Ruhwedel,9,0.18676608300918338,9,0.11183984908792707,0.0749262339212563,DSS
Chandler Stephenson,31,0.3227903920076339,31,0.3727969363812477,-0.05000654437361385,RF
Charles-Alexis Legault,1,0.08116314847758506,1,0.001263052225112915,0.07990009625247214,DSS
Charlie Coyle,35,0.2567072105476721,35,0.296865173961435,-0.04015796341376293,RF
Charlie Forslund,2,0.08116314847758506,2,0.0009875372052192688,0.08017561127236579,DSS
Charlie Lindgren,34,0.08403167820479572,34,0.0009194774662747103,0.083112200738521,DSS
Charlie McAvoy,20,0.5555813513319295,20,0.5058815725147724,0.04969977881715715,DSS
Chris Driedger,9,0.08454960718331987,9,0.0006408145030339559,0.08390879268028592,DSS
Chris Kreider,28,0.39103164187493805,28,0.36193715993847164,0.02909448193646641,DSS
Chris Wagner,13,0.15614844951340628,13,0.07725839889966525,0.07889005061374103,DSS
Christian Dvorak,34,0.4246581804367652,34,0.38752640038728714,0.037131780049478036,DSS
Christian Fischer,33,0.25488828556401255,33,0.24379314346746964,0.011095142096542915,DSS
Christopher Tanev,34,0.20189407420481784,34,0.11883289060171913,0.0830611836030987,DSS
